GEOID,NAME,NAMELSAD,uni.freq
10100,"Aberdeen, SD","Aberdeen, SD Micro Area",0
10140,"Aberdeen, WA","Aberdeen, WA Micro Area",0
10180,"Abilene, TX","Abilene, TX Metro Area",0
10220,"Ada, OK","Ada, OK Micro Area",0
10260,"Adjuntas, PR","Adjuntas, PR Micro Area",0
10300,"Adrian, MI","Adrian, MI Micro Area",0
10380,"Aguadilla-Isabela, PR","Aguadilla-Isabela, PR Metro Area",0
10420,"Akron, OH","Akron, OH Metro Area",2
10460,"Alamogordo, NM","Alamogordo, NM Micro Area",0
10500,"Albany, GA","Albany, GA Metro Area",0
10540,"Albany, OR","Albany, OR Metro Area",0
10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY Metro Area",2
10620,"Albemarle, NC","Albemarle, NC Micro Area",0
10660,"Albert Lea, MN","Albert Lea, MN Micro Area",0
10700,"Albertville, AL","Albertville, AL Micro Area",0
10740,"Albuquerque, NM","Albuquerque, NM Metro Area",1
10780,"Alexandria, LA","Alexandria, LA Metro Area",0
10820,"Alexandria, MN","Alexandria, MN Micro Area",0
10860,"Alice, TX","Alice, TX Micro Area",0
10900,"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ Metro Area",1
10940,"Alma, MI","Alma, MI Micro Area",0
10980,"Alpena, MI","Alpena, MI Micro Area",0
11020,"Altoona, PA","Altoona, PA Metro Area",0
11060,"Altus, OK","Altus, OK Micro Area",0
11100,"Amarillo, TX","Amarillo, TX Metro Area",0
11140,"Americus, GA","Americus, GA Micro Area",0
11180,"Ames, IA","Ames, IA Metro Area",1
11220,"Amsterdam, NY","Amsterdam, NY Micro Area",0
11260,"Anchorage, AK","Anchorage, AK Metro Area",0
11380,"Andrews, TX","Andrews, TX Micro Area",0
11420,"Angola, IN","Angola, IN Micro Area",0
11460,"Ann Arbor, MI","Ann Arbor, MI Metro Area",2
11500,"Anniston-Oxford-Jacksonville, AL","Anniston-Oxford-Jacksonville, AL Metro Area",0
11540,"Appleton, WI","Appleton, WI Metro Area",0
11580,"Arcadia, FL","Arcadia, FL Micro Area",0
11620,"Ardmore, OK","Ardmore, OK Micro Area",0
11640,"Arecibo, PR","Arecibo, PR Metro Area",0
11660,"Arkadelphia, AR","Arkadelphia, AR Micro Area",0
11680,"Arkansas City-Winfield, KS","Arkansas City-Winfield, KS Micro Area",0
11700,"Asheville, NC","Asheville, NC Metro Area",0
11740,"Ashland, OH","Ashland, OH Micro Area",0
11780,"Ashtabula, OH","Ashtabula, OH Micro Area",0
11820,"Astoria, OR","Astoria, OR Micro Area",0
11860,"Atchison, KS","Atchison, KS Micro Area",0
11900,"Athens, OH","Athens, OH Micro Area",1
11940,"Athens, TN","Athens, TN Micro Area",0
11980,"Athens, TX","Athens, TX Micro Area",0
12020,"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",1
12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",5
12100,"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",0
12140,"Auburn, IN","Auburn, IN Micro Area",0
12180,"Auburn, NY","Auburn, NY Micro Area",0
12220,"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",1
12260,"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area",0
12300,"Augusta-Waterville, ME","Augusta-Waterville, ME Micro Area",0
12380,"Austin, MN","Austin, MN Micro Area",0
12420,"Austin-Round Rock, TX","Austin-Round Rock, TX Metro Area",2
12460,"Bainbridge, GA","Bainbridge, GA Micro Area",0
12540,"Bakersfield, CA","Bakersfield, CA Metro Area",0
12580,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area",3
12620,"Bangor, ME","Bangor, ME Metro Area",1
12660,"Baraboo, WI","Baraboo, WI Micro Area",0
12680,"Bardstown, KY","Bardstown, KY Micro Area",0
12700,"Barnstable Town, MA","Barnstable Town, MA Metro Area",0
12740,"Barre, VT","Barre, VT Micro Area",0
12780,"Bartlesville, OK","Bartlesville, OK Micro Area",0
12820,"Bastrop, LA","Bastrop, LA Micro Area",0
12860,"Batavia, NY","Batavia, NY Micro Area",0
12900,"Batesville, AR","Batesville, AR Micro Area",0
12940,"Baton Rouge, LA","Baton Rouge, LA Metro Area",1
12980,"Battle Creek, MI","Battle Creek, MI Metro Area",0
13020,"Bay City, MI","Bay City, MI Metro Area",0
13060,"Bay City, TX","Bay City, TX Micro Area",0
13100,"Beatrice, NE","Beatrice, NE Micro Area",0
13140,"Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX Metro Area",0
13180,"Beaver Dam, WI","Beaver Dam, WI Micro Area",0
13220,"Beckley, WV","Beckley, WV Metro Area",0
13260,"Bedford, IN","Bedford, IN Micro Area",0
13300,"Beeville, TX","Beeville, TX Micro Area",0
13340,"Bellefontaine, OH","Bellefontaine, OH Micro Area",0
13380,"Bellingham, WA","Bellingham, WA Metro Area",0
13420,"Bemidji, MN","Bemidji, MN Micro Area",0
13460,"Bend-Redmond, OR","Bend-Redmond, OR Metro Area",0
